# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
3.611140000000000E+009;-4.952183952383906E+001;-1.404652816770479E+002;
3.611145000000000E+009;-4.951896123592077E+001;-1.398624516825988E+002;
3.611150000000000E+009;-4.955030906125116E+001;-1.399454119065737E+002;
3.611155000000000E+009;-4.943711765693869E+001;-1.403756351415393E+002;
3.611160000000000E+009;-4.950720060665926E+001;-1.410305289063821E+002;
3.611165000000000E+009;-4.944696018378892E+001;-1.410420518900849E+002;
3.611170000000000E+009;-4.951969401185828E+001;-1.399802222296490E+002;
3.611175000000000E+009;-4.964275380525987E+001;-1.408146187996803E+002;
3.611180000000000E+009;-4.945653811763394E+001;-1.407949994159598E+002;
3.611185000000000E+009;-4.951742732456417E+001;-1.401445552954990E+002;
3.611190000000000E+009;-4.945633277297563E+001;-1.411200280184926E+002;
3.611195000000000E+009;-4.961806695746291E+001;-1.409617648586330E+002;
3.611200000000000E+009;-4.959659897394957E+001;-1.410790846878938E+002;
3.611205000000000E+009;-4.950898841465279E+001;-1.413244716586831E+002;
3.611210000000000E+009;-4.957909252738104E+001;-1.401566549983644E+002;
3.611215000000000E+009;-4.944841856486976E+001;-1.410544753256365E+002;
3.611220000000000E+009;-4.943992929399272E+001;-1.409545708334114E+002;
3.611225000000000E+009;-4.949841274550339E+001;-1.411136770866244E+002;
3.611230000000000E+009;-4.950699583995515E+001;-1.413775371936978E+002;
3.611235000000000E+009;-4.955895634905722E+001;-1.411494708534683E+002;
3.611240000000000E+009;-4.958745007670537E+001;-1.410351064824698E+002;
3.611245000000000E+009;-4.947621583423597E+001;-1.407294690294411E+002;
3.611250000000000E+009;-4.946554911027735E+001;-1.413655128097558E+002;
3.611255000000000E+009;-4.948754388227829E+001;-1.413438070642927E+002;
3.611260000000000E+009;-4.946657094445708E+001;-1.416675640086413E+002;
3.611265000000000E+009;-4.944656558619670E+001;-1.408358829386426E+002;
3.611270000000000E+009;-4.952716968696442E+001;-1.418475403557099E+002;
3.611275000000000E+009;-4.954624911489933E+001;-1.413496467204365E+002;
3.611280000000000E+009;-4.944677290538312E+001;-1.411737702363701E+002;
3.611285000000000E+009;-4.957173537327022E+001;-1.411692211865203E+002;
3.611290000000000E+009;-4.953083166213774E+001;-1.420835680918657E+002;
3.611295000000000E+009;-4.945910052465798E+001;-1.415995218321542E+002;
3.611300000000000E+009;-4.943153916898090E+001;-1.419543729131257E+002;
3.611305000000000E+009;-4.942666827498542E+001;-1.416598951484827E+002;
3.611310000000000E+009;-4.961039183509541E+001;-1.417748030650645E+002;
3.611315000000000E+009;-4.950509334777277E+001;-1.421424576534475E+002;
3.611320000000000E+009;-4.947775706504513E+001;-1.420330920082752E+002;
3.611325000000000E+009;-4.945868574264121E+001;-1.420398146859909E+002;
3.611330000000000E+009;-4.953420476224998E+001;-1.419290327292835E+002;
3.611335000000000E+009;-4.951318903150745E+001;-1.423633372083815E+002;
3.611340000000000E+009;-4.942289819643573E+001;-1.422375424891682E+002;
3.611345000000000E+009;-4.944198153923318E+001;-1.421407895308040E+002;
3.611350000000000E+009;-4.951378642807946E+001;-1.421219231817293E+002;
3.611355000000000E+009;-4.954387017015329E+001;-1.427084154679610E+002;
3.611360000000000E+009;-4.947456470746376E+001;-1.425421945192956E+002;
3.611365000000000E+009;-4.954291618443964E+001;-1.422283445125419E+002;
3.611370000000000E+009;-4.942921790141370E+001;-1.423584134541985E+002;
3.611375000000000E+009;-4.945035121844440E+001;-1.427172047154130E+002;
3.611380000000000E+009;-4.942631069473500E+001;-1.429258073494783E+002;
3.611385000000000E+009;-4.939745035409377E+001;-1.430416022152336E+002;
3.611390000000000E+009;-4.946953131215409E+001;-1.422415578041433E+002;
3.611395000000000E+009;-4.943481352491601E+001;-1.423787241613921E+002;
3.611400000000000E+009;-4.954683862238536E+001;-1.426976623986049E+002;
3.611405000000000E+009;-4.948037873470152E+001;-1.428055324345226E+002;
3.611410000000000E+009;-4.949461991452174E+001;-1.430697023354764E+002;
3.611415000000000E+009;-4.941572485839527E+001;-1.427467374093972E+002;
3.611420000000000E+009;-4.955598036527690E+001;-1.430636340813698E+002;
3.611425000000000E+009;-4.936802633791176E+001;-1.424547703672372E+002;
3.611430000000000E+009;-4.945945730456134E+001;-1.434509890859664E+002;
3.611435000000000E+009;-4.948227214881931E+001;-1.430164635131024E+002;
3.611440000000000E+009;-4.948385179919975E+001;-1.433910082721125E+002;
3.611445000000000E+009;-4.948947985155407E+001;-1.429335321663225E+002;
3.611450000000000E+009;-4.947972029635795E+001;-1.433592674112231E+002;
3.611455000000000E+009;-4.948434742777876E+001;-1.425814081111398E+002;
3.611460000000000E+009;-4.951909721020166E+001;-1.437284960152998E+002;
3.611465000000000E+009;-4.944643515655653E+001;-1.437366151654103E+002;
3.611470000000000E+009;-4.945784975517556E+001;-1.434380892752783E+002;
3.611475000000000E+009;-4.945653728365564E+001;-1.436304410321260E+002;
3.611480000000000E+009;-4.959416831718259E+001;-1.432340700001273E+002;
3.611485000000000E+009;-4.953758172174862E+001;-1.432318924198019E+002;
3.611490000000000E+009;-4.942411974154652E+001;-1.435796669783343E+002;
3.611495000000000E+009;-4.954723349935387E+001;-1.440705667749516E+002;
3.611500000000000E+009;-4.945885265531900E+001;-1.442386426388314E+002;
3.611505000000000E+009;-4.949099925202313E+001;-1.438737405064060E+002;
3.611510000000000E+009;-4.948001490774949E+001;-1.443535899256146E+002;
3.611515000000000E+009;-4.940808906200678E+001;-1.440350850985669E+002;
3.611520000000000E+009;-4.948506826811035E+001;-1.434459533184831E+002;
3.611525000000000E+009;-4.947467609969709E+001;-1.440200492161337E+002;
3.611530000000000E+009;-4.949651497233575E+001;-1.444381820213890E+002;
3.611535000000000E+009;-4.948206386874934E+001;-1.440439090023299E+002;
3.611540000000000E+009;-4.948226312622729E+001;-1.435878414367158E+002;
3.611545000000000E+009;-4.946574737783803E+001;-1.441060836882771E+002;
3.611550000000000E+009;-4.944032072723188E+001;-1.439998234634213E+002;
3.611555000000000E+009;-4.942030063448197E+001;-1.442285449310307E+002;
3.611560000000000E+009;-4.941638528705936E+001;-1.439274613946588E+002;
3.611565000000000E+009;-4.940790012240120E+001;-1.438389175639883E+002;
3.611570000000000E+009;-4.948819180304277E+001;-1.442472400324190E+002;
3.611575000000000E+009;-4.942801565096134E+001;-1.442819011637371E+002;
3.611580000000000E+009;-4.953079126651019E+001;-1.438343921450894E+002;
3.611585000000000E+009;-4.949327313512549E+001;-1.435817437133678E+002;
3.611590000000000E+009;-4.940142885501319E+001;-1.446009873830772E+002;
3.611595000000000E+009;-4.950974858557012E+001;-1.443649663196430E+002;
3.611600000000000E+009;-4.948186206203003E+001;-1.441257714549851E+002;
3.611605000000000E+009;-4.942081503687209E+001;-1.443675848815811E+002;
3.611610000000000E+009;-4.946780860252631E+001;-1.449090640695164E+002;
3.611615000000000E+009;-4.943913659992638E+001;-1.452189472968944E+002;
3.611620000000000E+009;-4.949653350950485E+001;-1.446840803491193E+002;
3.611625000000000E+009;-4.959895200831892E+001;-1.442926844750934E+002;
3.611630000000000E+009;-4.932771640282002E+001;-1.431229220052099E+002;
3.611635000000000E+009;-4.920600872138745E+001;-1.445601756089736E+002;
3.611640000000000E+009;-4.930649043289139E+001;-1.437936613224288E+002;
3.611645000000000E+009;-4.902862377156257E+001;-1.442475843530011E+002;
3.611650000000000E+009;-4.912720632845583E+001;-1.456901275018708E+002;
3.611655000000000E+009;-4.959352600280168E+001;-1.451203031884905E+002;
3.611660000000000E+009;-4.941808082928088E+001;-1.449581447751320E+002;
3.611665000000000E+009;-4.944205891246486E+001;-1.447955213875344E+002;
3.611670000000000E+009;-4.953287073744177E+001;-1.453196786013585E+002;
3.611675000000000E+009;-4.942430453041104E+001;-1.451422427667030E+002;
3.611680000000000E+009;-4.950538276215818E+001;-1.457674407500813E+002;
3.611685000000000E+009;-4.941487645324049E+001;-1.451364605208038E+002;
3.611690000000000E+009;-4.952537456578662E+001;-1.456454417808522E+002;
3.611695000000000E+009;-4.938484598205841E+001;-1.454417930513167E+002;
3.611700000000000E+009;-4.944827865721511E+001;-1.453752203152909E+002;
3.611705000000000E+009;-4.946380395887083E+001;-1.456171738142165E+002;
3.611710000000000E+009;-4.944700840546717E+001;-1.458586728410239E+002;
